A1|Dressing for one wound
S9961|"Ambulance service, conventional air service, nonemergency transport, one way (rotary wing)"
S9970|"Health club membership, annual"
S9975|"Transplant related lodging, meals and transportation, per diem"
S9976|"Lodging, per diem, not otherwise classified"
S9977|"Meals, per diem, not otherwise specified"
S9981|"Medical records copying fee, administrative"
S9982|"Medical records copying fee, per page"
S9986|Not medically necessary service (patient is aware that service not medically necessary)
S9988|Services provided as part of a phase i clinical trial
S9989|Services provided outside of the united states of america (list in addition to code(s) for service(s))
S9990|Services provided as part of a phase ii clinical trial
S9991|Services provided as part of a phase iii clinical trial
S9992|"Transportation costs to and from trial location and local transportation costs (e.g., fares for taxicab or bus) for clinical trial participant and one caregiver/companion"
S9994|"Lodging costs (e.g., hotel charges) for clinical trial participant and one caregiver/companion"
S9996|Meals for clinical trial participant and one caregiver/companion
S9999|Sales tax
T1000|"Private duty / independent nursing service(s) - licensed, up to 15 minutes"
T1001|Nursing assessment / evaluation
T1002|"Rn services, up to 15 minutes"
T1003|"Lpn/lvn services, up to 15 minutes"
T1004|"Services of a qualified nursing aide, up to 15 minutes"
T1005|"Respite care services, up to 15 minutes"
T1006|"Alcohol and/or substance abuse services, family/couple counseling"
T1007|"Alcohol and/or substance abuse services, treatment plan development and/or modification"
T1009|Child sitting services for children of the individual receiving alcohol and/or substance abuse services
T1010|Meals for individuals receiving alcohol and/or substance abuse services (when meals not included in the program)
T1012|"Alcohol and/or substance abuse services, skills development"
T1013|"Sign language or oral interpretive services, per 15 minutes"
T1014|"Telehealth transmission, per minute, professional services bill separately"
T1015|"Clinic visit/encounter, all-inclusive"
T1016|"Case management, each 15 minutes"
T1017|"Targeted case management, each 15 minutes"
T1018|"School-based individualized education program (iep) services, bundled"
T1019|"Personal care services, per 15 minutes, not for an inpatient or resident of a hospital, nursing facility, icf/mr or imd, part of the individualized plan of treatment (code may not be used to identify services provided by home health aide or certified nurse assistant)"
T1020|"Personal care services, per diem, not for an inpatient or resident of a hospital, nursing facility, icf/mr or imd, part of the individualized plan of treatment (code may not be used to identify services provided by home health aide or certified nurse assistant)"
T1021|"Home health aide or certified nurse assistant, per visit"
T1022|"Contracted home health agency services, all services provided under contract, per day"
T1023|"Screening to determine the appropriateness of consideration of an individual for participation in a specified program, project or treatment protocol, per encounter"
T1024|"Evaluation and treatment by an integrated, specialty team contracted to provide coordinated care to multiple or severely handicapped children, per encounter"
T1025|"Intensive, extended multidisciplinary services provided in a clinic setting to children with complex medical, physical, mental and psychosocial impairments, per diem"
T1026|"Intensive, extended multidisciplinary services provided in a clinic setting to children with complex medical, physical, medical and psychosocial impairments, per hour"
T1027|"Family training and counseling for child development, per 15 minutes"
T1028|"Assessment of home, physical and family environment, to determine suitability to meet patient's medical needs"
T1029|"Comprehensive environmental lead investigation, not including laboratory analysis, per dwelling"
T1030|"Nursing care, in the home, by registered nurse, per diem"
T1031|"Nursing care, in the home, by licensed practical nurse, per diem"
T1502|"Administration of oral, intramuscular and/or subcutaneous medication by health care agency/professional, per visit"
T1503|"Administration of medication, other than oral and/or injectable, by a health care agency/professional, per visit"
T1505|"Electronic medication compliance management device, includes all components and accessories, not otherwise classified"
T1999|"Miscellaneous therapeutic items and supplies, retail purchases, not otherwise classified; identify product in ""remarks"""
T2001|Non-emergency transportation; patient attendant/escort
T2002|Non-emergency transportation; per diem
T2003|Non-emergency transportation; encounter/trip
T2004|"Non-emergency transport; commercial carrier, multi-pass"
T2005|Non-emergency transportation; stretcher van
T2007|"Transportation waiting time, air ambulance and non-emergency vehicle, one-half (1/2) hour increments"
T2010|"Preadmission screening and resident review (pasrr) level i identification screening, per screen"
T2011|"Preadmission screening and resident review (pasrr) level ii evaluation, per evaluation"
T2012|"Habilitation, educational; waiver, per diem"
T2013|"Habilitation, educational, waiver; per hour"
T2014|"Habilitation, prevocational, waiver; per diem"
T2015|"Habilitation, prevocational, waiver; per hour"
T2016|"Habilitation, residential, waiver; per diem"
T2017|"Habilitation, residential, waiver; 15 minutes"
T2018|"Habilitation, supported employment, waiver; per diem"
T2019|"Habilitation, supported employment, waiver; per 15 minutes"
T2020|"Day habilitation, waiver; per diem"
T2021|"Day habilitation, waiver; per 15 minutes"
T2022|"Case management, per month"
T2023|Targeted case management; per month
T2024|"Service assessment/plan of care development, waiver"
T2025|Waiver services; not otherwise specified (nos)
T2026|"Specialized childcare, waiver; per diem"
T2027|"Specialized childcare, waiver; per 15 minutes"
T2028|"Specialized supply, not otherwise specified, waiver"
T2029|"Specialized medical equipment, not otherwise specified, waiver"
T2030|"Assisted living, waiver; per month"
T2031|"Assisted living; waiver, per diem"
T2032|"Residential care, not otherwise specified (nos), waiver; per month"
T2033|"Residential care, not otherwise specified (nos), waiver; per diem"
T2034|"Crisis intervention, waiver; per diem"
T2035|"Utility services to support medical equipment and assistive technology/devices, waiver"
T2036|"Therapeutic camping, overnight, waiver; each session"
T2037|"Therapeutic camping, day, waiver; each session"
T2038|"Community transition, waiver; per service"
T2039|"Vehicle modifications, waiver; per service"
T2040|"Financial management, self-directed, waiver; per 15 minutes"
T2041|"Supports brokerage, self-directed, waiver; per 15 minutes"
